,time,air_temp,water_temp,current_dir,current_speed,sea_lvl,swell_height,wave_dir,wave_hei,wave_per,wind_dir,wind_speed 
0,2023-06-02T22:00:00+00:00,21.88,22.83,289.06,0.36,0.05,0.93,143.45,1.28,7.65,98.3,3.53
1,2023-06-02T23:00:00+00:00,21.82,22.86,285.05,0.35,0.04,0.91,142.7,1.27,7.65,91.05,4.05
2,2023-06-03T00:00:00+00:00,21.75,22.9,269.68,0.34,0.02,0.89,141.94,1.25,7.64,83.79,4.56
3,2023-06-03T01:00:00+00:00,21.74,22.88,266.02,0.34,0.03,0.87,140.44,1.26,7.65,74.42,4.38
4,2023-06-03T02:00:00+00:00,21.72,22.86,262.97,0.34,0.04,0.86,138.95,1.28,7.65,65.04,4.21
5,2023-06-03T03:00:00+00:00,21.71,22.84,259.98,0.33,0.03,0.84,137.45,1.29,7.66,55.67,4.03
6,2023-06-03T04:00:00+00:00,21.48,22.81,256.89,0.33,0.03,0.87,136.03,1.28,7.05,54.4,4.13
7,2023-06-03T05:00:00+00:00,21.26,22.78,254.1,0.32,0.03,0.89,134.6,1.27,6.45,53.13,4.24
8,2023-06-03T06:00:00+00:00,21.03,22.74,251.86,0.31,0.04,0.92,133.18,1.26,5.84,51.86,4.34
9,2023-06-03T07:00:00+00:00,20.93,22.75,250.29,0.31,0.04,0.91,131.81,1.24,5.94,49.07,4.21
10,2023-06-03T08:00:00+00:00,20.83,22.75,249.7,0.3,0.05,0.91,130.43,1.23,6.03,46.28,4.09
11,2023-06-03T09:00:00+00:00,20.73,22.75,249.8,0.29,0.05,0.9,129.06,1.21,6.13,43.49,3.96
12,2023-06-03T10:00:00+00:00,20.8,22.75,250.11,0.28,0.04,0.9,127.9,1.2,6.08,37.54,3.67
13,2023-06-03T11:00:00+00:00,20.87,22.74,250.55,0.27,0.04,0.89,126.74,1.18,6.02,31.59,3.37
14,2023-06-03T12:00:00+00:00,20.95,22.74,251.78,0.27,0.05,0.89,125.58,1.17,5.97,25.64,3.08
15,2023-06-03T13:00:00+00:00,21.49,23.06,254.24,0.26,0.06,0.88,124.64,1.15,5.91,55.28,2.94
16,2023-06-03T14:00:00+00:00,22.04,23.38,257.7,0.26,0.07,0.88,123.71,1.14,5.86,84.93,2.8
17,2023-06-03T15:00:00+00:00,22.58,23.7,261.41,0.27,0.06,0.87,122.77,1.12,5.8,114.57,2.66
18,2023-06-03T16:00:00+00:00,22.68,23.51,265.0,0.27,0.06,0.86,121.66,1.11,5.64,107.26,3.72
19,2023-06-03T17:00:00+00:00,22.77,23.32,268.5,0.28,0.06,0.85,120.56,1.11,5.47,99.96,4.77
20,2023-06-03T18:00:00+00:00,22.86,23.13,272.07,0.29,0.06,0.84,119.45,1.1,5.31,92.65,5.83
21,2023-06-03T19:00:00+00:00,22.65,23.04,275.49,0.3,0.06,0.83,117.57,1.11,5.08,80.87,6.06
22,2023-06-03T20:00:00+00:00,22.44,22.95,278.42,0.31,0.06,0.81,115.69,1.11,4.85,69.1,6.29
23,2023-06-03T21:00:00+00:00,22.22,22.86,280.62,0.33,0.06,0.8,113.81,1.12,4.62,57.32,6.52
